E,LDOS
-0.79946666666666666      ,   7.1005327010270097E-002
 -0.79893333333333338      ,   7.1125565328996804E-002
 -0.79840000000000000      ,   7.1246157962833914E-002
 -0.79786666666666672      ,   7.1367106406770839E-002
 -0.79733333333333334      ,   7.1488412163994319E-002
 -0.79680000000000006      ,   7.1610076745942733E-002
 -0.79626666666666668      ,   7.1732101672361895E-002
 -0.79573333333333340      ,   7.1854488471360917E-002
 -0.79520000000000002      ,   7.1977238679469382E-002
 -0.79466666666666674      ,   7.2100353841693596E-002
 -0.79413333333333336      ,   7.2223835511574255E-002
 -0.79360000000000008      ,   7.2347685251244465E-002
 -0.79306666666666670      ,   7.2471904631487880E-002
 -0.79253333333333342      ,   7.2596495231797814E-002
 -0.79200000000000004      ,   7.2721458640436026E-002
 -0.79146666666666676      ,   7.2846796454492907E-002
 -0.79093333333333338      ,   7.2972510279947778E-002
 -0.79039999999999999      ,   7.3098601731729274E-002
 -0.78986666666666672      ,   7.3225072433776475E-002
 -0.78933333333333333      ,   7.3351924019101566E-002
 -0.78880000000000006      ,   7.3479158129850966E-002
 -0.78826666666666667      ,   7.3606776417368111E-002
 -0.78773333333333340      ,   7.3734780542258113E-002
 -0.78720000000000001      ,   7.3863172174449418E-002
 -0.78666666666666674      ,   7.3991952993259516E-002
 -0.78613333333333335      ,   7.4121124687459572E-002
 -0.78560000000000008      ,   7.4250688955339039E-002
 -0.78506666666666669      ,   7.4380647504772426E-002
 -0.78453333333333342      ,   7.4511002053284758E-002
 -0.78400000000000003      ,   7.4641754328119786E-002
 -0.78346666666666676      ,   7.4772906066305864E-002
 -0.78293333333333337      ,   7.4904459014725353E-002
 -0.78240000000000010      ,   7.5036414930182621E-002
 -0.78186666666666671      ,   7.5168775579473213E-002
 -0.78133333333333332      ,   7.5301542739454039E-002
 -0.78080000000000005      ,   7.5434718197112852E-002
 -0.78026666666666666      ,   7.5568303749639937E-002
 -0.77973333333333339      ,   7.5702301204499306E-002
 -0.77920000000000000      ,   7.5836712379500709E-002
 -0.77866666666666673      ,   7.5971539102872257E-002
 -0.77813333333333334      ,   7.6106783213334153E-002
 -0.77760000000000007      ,   7.6242446560172178E-002
 -0.77706666666666668      ,   7.6378531003312017E-002
 -0.77653333333333341      ,   7.6515038413394826E-002
 -0.77600000000000002      ,   7.6651970671853101E-002
 -0.77546666666666675      ,   7.6789329670986325E-002
 -0.77493333333333336      ,   7.6927117314038757E-002
 -0.77440000000000009      ,   7.7065335515276737E-002
 -0.77386666666666670      ,   7.7203986200067312E-002
 -0.77333333333333343      ,   7.7343071304956476E-002
 -0.77280000000000004      ,   7.7482592777750173E-002
 -0.77226666666666666      ,   7.7622552577592943E-002
 -0.77173333333333338      ,   7.7762952675050581E-002
 -0.77120000000000000      ,   7.7903795052190680E-002
 -0.77066666666666672      ,   7.8045081702665262E-002
 -0.77013333333333334      ,   7.8186814631794194E-002
 -0.76960000000000006      ,   7.8328995856648903E-002
 -0.76906666666666668      ,   7.8471627406136210E-002
 -0.76853333333333340      ,   7.8614711321084677E-002
 -0.76800000000000002      ,   7.8758249654329510E-002
 -0.76746666666666674      ,   7.8902244470799812E-002
 -0.76693333333333336      ,   7.9046697847605651E-002
 -0.76640000000000008      ,   7.9191611874126766E-002
 -0.76586666666666670      ,   7.9336988652101037E-002
 -0.76533333333333342      ,   7.9482830295713930E-002
 -0.76480000000000004      ,   7.9629138931689783E-002
 -0.76426666666666676      ,   7.9775916699381957E-002
 -0.76373333333333338      ,   7.9923165750865999E-002
 -0.76320000000000010      ,   8.0070888251031438E-002
 -0.76266666666666671      ,   8.0219086377675955E-002
 -0.76213333333333333      ,   8.0367762321599853E-002
 -0.76160000000000005      ,   8.0516918286700878E-002
 -0.76106666666666667      ,   8.0666556490070249E-002
 -0.76053333333333339      ,   8.0816679162090524E-002
 -0.76000000000000001      ,   8.0967288546532012E-002
 -0.75946666666666673      ,   8.1118386900652234E-002
 -0.75893333333333335      ,   8.1269976495294757E-002
 -0.75840000000000007      ,   8.1422059614990258E-002
 -0.75786666666666669      ,   8.1574638558057050E-002
 -0.75733333333333341      ,   8.1727715636703349E-002
 -0.75680000000000003      ,   8.1881293177130304E-002
 -0.75626666666666675      ,   8.2035373519636093E-002
 -0.75573333333333337      ,   8.2189959018720046E-002
 -0.75520000000000009      ,   8.2345052043188899E-002
 -0.75466666666666671      ,   8.2500654976263410E-002
 -0.75413333333333332      ,   8.2656770215685571E-002
 -0.75360000000000005      ,   8.2813400173827614E-002
 -0.75306666666666666      ,   8.2970547277800968E-002
 -0.75253333333333339      ,   8.3128213969566905E-002
 -0.75200000000000000      ,   8.3286402706048507E-002
 -0.75146666666666673      ,   8.3445115959241992E-002
